date,location,district,water_ph,turbidity_ntu,ecoli_count_per_100ml,total_coliform_count,temperature_celsius,rainfall_mm_last_7days,population_density,sanitation_score,distance_to_healthcare_km,water_source_type,previous_outbreak_history,is_monsoon_season,month,outbreak_occurred,case_count,outbreak_probability,severity_level,disease_type,age_group_affected
2023-09-25,"Shillong, Meghalaya",Meghalaya,7.26,2.77,117.41,408.33,22.3,38.5,79.0,1.0,8.8,Piped Supply,1,1,9,1,40,0.95,High,Typhoid,Mixed
2023-11-20,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.97,0.13,3.7,10.5,21.5,1.2,19.0,5.8,12.9,Bore Well,0,0,11,1,8,0.16,Medium,Diarrhea,Elderly
2023-05-16,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.76,1.99,19.26,59.84,26.1,3.1,128.0,1.0,4.7,Bore Well,0,0,5,0,0,0.26,None,None,None
2023-06-11,"Imphal, Manipur",Manipur,8.1,3.42,8.33,23.39,26.4,89.4,29.0,1.1,12.5,Piped Supply,0,1,6,0,0,0.89,None,None,None
2024-10-31,"Churachandpur, Manipur",Manipur,7.93,2.07,9.09,32.84,23.8,2.8,94.0,2.7,6.8,River/Stream,0,0,10,0,0,0.47,None,None,None
2023-05-18,"Tura, Meghalaya",Meghalaya,6.08,0.32,3.32,9.08,29.6,0.9,30.0,1.1,4.1,Bore Well,0,0,5,1,22,0.36,High,Diarrhea,Adults
2023-12-18,"Shillong, Meghalaya",Meghalaya,7.6,7.95,16.27,60.45,21.9,1.6,28.0,3.2,1.0,Piped Supply,0,0,12,1,16,0.29,Medium,Gastroenteritis,Children
2023-04-05,"Dimapur, Nagaland",Nagaland,5.5,2.61,3.35,11.55,28.7,2.1,57.0,1.3,7.2,Piped Supply,1,0,4,0,0,0.69,None,None,None
2024-10-14,"Tura, Meghalaya",Meghalaya,5.5,1.29,53.05,238.3,18.6,16.8,79.0,1.5,1.2,Hand Pump,0,0,10,0,0,0.42,None,None,None
2023-01-10,"Silchar, Assam",Assam,8.46,4.76,22.52,56.09,26.6,5.5,36.0,3.4,5.0,Surface Water,0,0,1,0,0,0.44,None,None,None
2024-08-19,"Churachandpur, Manipur",Manipur,8.24,1.61,41.3,144.9,21.9,81.6,133.0,4.6,12.6,Surface Water,1,1,8,1,50,0.95,High,Typhoid,Children
2024-01-02,"Shillong, Meghalaya",Meghalaya,8.12,6.73,31.08,76.3,23.0,6.8,24.0,3.2,3.3,Bore Well,0,0,1,0,0,0.26,None,None,None
2024-02-21,"Kohima, Nagaland",Nagaland,8.23,0.49,5.21,21.7,28.0,6.4,218.0,5.1,19.1,Surface Water,0,0,2,0,0,0.34,None,None,None
2023-07-01,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.2,3.94,15.37,52.03,25.4,285.4,61.0,3.5,6.9,Surface Water,0,1,7,1,50,0.95,High,Gastroenteritis,Adults
2023-10-01,"Dibrugarh, Assam",Assam,7.55,4.0,54.47,260.2,18.0,20.9,48.0,5.6,3.3,Bore Well,0,0,10,1,1,0.06,Low,Diarrhea,Adults
2024-04-16,"Aizawl, Mizoram",Mizoram,6.39,2.31,50.48,153.41,26.5,2.1,39.0,6.5,5.5,Surface Water,0,0,4,0,0,0.34,None,None,None
2023-10-13,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,7.08,1.63,246.33,760.46,23.8,0.1,168.0,1.0,4.3,Piped Supply,0,0,10,1,47,0.95,High,Typhoid,Elderly
2023-01-29,"Silchar, Assam",Assam,7.21,0.71,45.67,119.44,27.3,1.1,53.0,1.1,4.1,Piped Supply,1,0,1,1,30,0.59,High,Cholera,Elderly
2023-11-18,"Lunglei, Mizoram",Mizoram,5.5,0.6,39.58,191.5,18.8,5.2,25.0,2.2,8.6,River/Stream,0,0,11,1,24,0.57,High,Typhoid,Children
2024-06-16,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.78,4.76,8.16,18.76,27.2,136.4,21.0,1.4,2.8,Surface Water,0,1,6,1,57,0.94,High,Typhoid,Elderly
2024-09-30,"Aizawl, Mizoram",Mizoram,5.86,10.04,51.02,154.36,23.5,61.9,13.0,5.6,4.6,Bore Well,0,1,9,1,39,0.86,High,Diarrhea,Mixed
2023-12-01,"Lunglei, Mizoram",Mizoram,6.76,6.09,13.37,62.6,23.3,8.0,38.0,1.3,1.2,River/Stream,1,0,12,1,39,0.77,High,Diarrhea,Adults
2024-09-22,"Kohima, Nagaland",Nagaland,7.74,1.43,0.56,2.64,20.4,52.4,406.0,3.5,8.7,River/Stream,0,1,9,1,46,0.95,High,Diarrhea,Elderly
2024-04-21,"Imphal, Manipur",Manipur,7.99,2.2,0.96,2.4,29.0,4.6,67.0,3.1,10.2,Surface Water,0,0,4,0,0,0.54,None,None,None
2023-06-23,"Dimapur, Nagaland",Nagaland,7.66,2.91,163.45,786.27,22.2,56.4,110.0,5.5,7.3,River/Stream,0,1,6,1,44,0.95,High,Diarrhea,Adults
2024-11-19,"Tura, Meghalaya",Meghalaya,7.17,3.5,11.41,31.26,25.3,8.5,103.0,6.4,19.9,Surface Water,0,0,11,1,16,0.34,Medium,Diarrhea,Children
2024-04-11,"Lunglei, Mizoram",Mizoram,8.12,2.34,41.26,173.17,31.0,5.9,161.0,1.6,35.2,River/Stream,1,0,4,1,57,0.87,High,Diarrhea,Children
2023-04-20,"Dharmanagar, Tripura",Tripura,7.54,0.6,16.78,79.66,30.2,0.2,19.0,3.1,3.1,Surface Water,0,0,4,0,0,0.44,None,None,None
2024-04-20,"Guwahati, Assam",Assam,7.14,5.3,0.75,2.86,28.8,0.4,40.0,1.0,3.0,Bore Well,0,0,4,0,0,0.26,None,None,None
2024-11-14,"Churachandpur, Manipur",Manipur,8.36,1.15,19.66,91.59,21.8,4.8,59.0,3.1,5.2,River/Stream,0,0,11,0,0,0.47,None,None,None
2024-03-29,"Kohima, Nagaland",Nagaland,6.65,2.96,41.38,204.92,29.1,2.7,234.0,1.1,2.7,River/Stream,0,0,3,0,0,0.47,None,None,None
2024-04-01,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.4,0.13,0.36,1.79,28.5,2.8,257.0,1.4,23.2,Hand Pump,0,0,4,0,0,0.52,None,None,None
2024-10-14,"Tura, Meghalaya",Meghalaya,6.54,1.89,19.01,47.54,20.5,4.7,89.0,1.0,1.7,River/Stream,0,0,10,1,28,0.47,High,Diarrhea,Elderly
2023-08-29,"Tura, Meghalaya",Meghalaya,8.34,5.36,5.01,22.3,19.6,61.9,27.0,3.2,2.5,River/Stream,0,1,8,1,54,0.95,High,Typhoid,Adults
2023-03-07,"Lunglei, Mizoram",Mizoram,6.52,1.58,9.33,25.92,29.7,6.4,24.0,3.1,5.5,River/Stream,0,0,3,1,23,0.47,High,Hepatitis A,Mixed
2024-08-21,"Agartala, Tripura",Tripura,7.38,7.84,64.11,258.63,17.8,115.6,99.0,3.9,9.6,River/Stream,0,1,8,1,51,0.95,High,Diarrhea,Mixed
2024-03-05,"Churachandpur, Manipur",Manipur,7.77,4.19,3.45,16.04,29.2,2.0,63.0,1.4,5.7,River/Stream,0,0,3,0,0,0.47,None,None,None
2024-05-14,"Shillong, Meghalaya",Meghalaya,7.35,3.0,6.02,23.48,28.7,3.9,40.0,2.5,8.0,Hand Pump,1,0,5,0,0,0.62,None,None,None
2024-02-19,"Agartala, Tripura",Tripura,7.24,8.07,2.16,10.41,27.9,1.8,66.0,2.0,7.8,Hand Pump,0,0,2,0,0,0.32,None,None,None
2024-06-30,"Guwahati, Assam",Assam,6.75,6.39,0.75,1.54,25.8,85.5,7.0,3.2,12.7,River/Stream,0,1,6,1,51,0.95,High,Typhoid,Adults
2024-04-17,"Dibrugarh, Assam",Assam,5.5,0.26,114.1,452.24,29.3,14.4,17.0,6.6,33.1,Hand Pump,0,0,4,1,34,0.72,High,Diarrhea,Mixed
2023-10-12,"Dharmanagar, Tripura",Tripura,6.63,0.09,21.09,65.5,18.8,10.0,91.0,2.3,14.9,Hand Pump,0,0,10,0,0,0.42,None,None,None
2024-07-06,"Guwahati, Assam",Assam,7.57,6.44,29.52,70.67,27.0,117.3,28.0,6.2,2.5,Piped Supply,0,1,7,0,0,0.59,None,None,None
2024-10-29,"Guwahati, Assam",Assam,7.19,4.79,7.43,25.01,19.7,4.6,5.0,5.6,0.5,Surface Water,0,0,10,0,0,0.24,None,None,None
2023-09-02,"Dibrugarh, Assam",Assam,6.43,1.25,129.52,314.4,20.5,261.4,53.0,2.3,0.7,Bore Well,0,1,9,1,44,0.95,High,Typhoid,Elderly
2023-06-21,"Kohima, Nagaland",Nagaland,7.06,0.64,25.15,102.31,24.4,67.0,97.0,3.9,22.0,Bore Well,0,1,6,1,29,0.86,High,Diarrhea,Children
2023-11-16,"Kohima, Nagaland",Nagaland,7.76,3.76,32.36,97.68,22.3,8.4,204.0,2.6,0.7,Hand Pump,0,0,11,0,0,0.32,None,None,None
2023-03-19,"Kohima, Nagaland",Nagaland,8.95,0.19,5.68,14.07,29.2,18.6,83.0,1.5,5.5,Surface Water,1,0,3,0,0,0.84,None,None,None
2024-09-06,"Dharmanagar, Tripura",Tripura,8.58,1.17,168.26,828.57,21.3,47.6,96.0,4.2,10.9,River/Stream,0,1,9,1,46,0.95,High,Diarrhea,Elderly
2023-03-12,"Churachandpur, Manipur",Manipur,5.95,3.88,13.34,61.62,33.7,11.5,11.0,1.1,1.1,Bore Well,0,0,3,0,0,0.36,None,None,None
2023-04-19,"Lunglei, Mizoram",Mizoram,8.3,3.77,47.95,121.73,30.4,3.4,41.0,3.9,3.6,Hand Pump,0,0,4,0,0,0.32,None,None,None
2024-06-18,"Dimapur, Nagaland",Nagaland,6.28,2.23,104.61,290.24,26.7,42.6,174.0,1.0,5.9,River/Stream,0,1,6,1,44,0.95,High,Hepatitis A,Elderly
2023-11-27,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,5.95,2.88,24.54,61.37,21.4,0.9,40.0,5.2,1.8,Bore Well,1,0,11,1,16,0.46,Medium,Diarrhea,Mixed
2023-12-11,"Guwahati, Assam",Assam,8.24,0.18,15.15,72.87,24.8,1.9,50.0,1.8,26.8,Piped Supply,0,0,12,1,21,0.39,High,Diarrhea,Elderly
2024-09-02,"Agartala, Tripura",Tripura,8.0,3.02,32.98,79.77,14.8,53.7,104.0,1.0,9.4,River/Stream,0,1,9,1,51,0.95,High,Typhoid,Mixed
2024-07-22,"Dharmanagar, Tripura",Tripura,7.97,3.8,0.93,4.44,23.8,155.4,179.0,1.0,8.6,Hand Pump,0,1,7,1,49,0.82,High,Typhoid,Children
2023-10-29,"Shillong, Meghalaya",Meghalaya,8.49,6.32,10.36,30.87,21.5,5.5,99.0,2.5,6.3,Surface Water,0,0,10,0,0,0.44,None,None,None
2024-04-29,"Churachandpur, Manipur",Manipur,6.99,0.02,7.85,24.33,32.6,2.5,23.0,1.0,0.6,Hand Pump,0,0,4,0,0,0.32,None,None,None
2023-12-27,"Agartala, Tripura",Tripura,8.51,2.9,12.45,39.1,26.7,10.0,4.0,7.2,6.9,Piped Supply,0,0,12,0,0,0.19,None,None,None
2023-11-20,"Silchar, Assam",Assam,5.97,2.29,18.73,80.42,22.9,15.6,128.0,2.0,21.8,Surface Water,1,0,11,1,44,0.94,High,Cholera,Elderly
2023-04-13,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,5.85,1.01,7.34,32.38,29.7,3.9,137.0,1.0,1.6,Surface Water,0,0,4,1,30,0.54,High,Typhoid,Adults
2023-10-08,"Guwahati, Assam",Assam,5.93,2.23,24.69,57.3,16.9,16.5,85.0,4.8,8.0,River/Stream,0,0,10,0,0,0.57,None,None,None
2024-05-17,"Silchar, Assam",Assam,7.3,5.13,43.12,115.74,29.6,1.2,13.0,5.5,12.1,River/Stream,1,0,5,1,29,0.67,High,Diarrhea,Children
2023-09-16,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,7.8,2.48,33.04,75.54,18.5,237.5,92.0,1.7,8.2,Bore Well,0,1,9,1,40,0.76,High,Typhoid,Children
2023-06-05,"Dibrugarh, Assam",Assam,7.1,1.19,14.87,56.27,27.8,91.6,24.0,4.0,1.1,Piped Supply,0,1,6,1,30,0.79,High,Typhoid,Adults
2024-06-19,"Lunglei, Mizoram",Mizoram,8.08,3.89,9.61,21.52,24.8,51.2,30.0,2.2,8.4,Hand Pump,1,1,6,1,48,0.95,High,Typhoid,Children
2023-08-01,"Dimapur, Nagaland",Nagaland,5.96,1.82,33.21,165.48,23.9,220.0,27.0,3.6,0.8,Bore Well,0,1,8,1,42,0.86,High,Diarrhea,Mixed
2024-04-06,"Agartala, Tripura",Tripura,7.7,1.28,21.87,95.92,27.8,24.5,40.0,2.1,7.8,Piped Supply,1,0,4,0,0,0.59,None,None,None
2024-12-20,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,7.35,0.41,34.98,152.03,23.5,6.2,25.0,1.0,4.0,Surface Water,0,0,12,0,0,0.44,None,None,None
2024-10-02,"Kohima, Nagaland",Nagaland,7.77,1.78,18.36,65.11,20.0,24.2,126.0,1.7,13.6,Surface Water,0,0,10,0,0,0.54,None,None,None
2024-10-25,"Dibrugarh, Assam",Assam,7.94,6.08,32.79,143.3,19.9,1.8,46.0,2.4,8.2,Surface Water,0,0,10,0,0,0.44,None,None,None
2024-09-01,"Agartala, Tripura",Tripura,8.25,7.78,4.27,19.56,20.5,136.7,28.0,4.7,0.6,Piped Supply,0,1,9,1,56,0.79,High,Diarrhea,Mixed
2023-10-06,"Churachandpur, Manipur",Manipur,6.96,10.13,11.33,33.26,14.2,0.6,73.0,1.0,1.3,Hand Pump,0,0,10,0,0,0.52,None,None,None
2023-11-27,"Kohima, Nagaland",Nagaland,6.65,15.82,1.19,4.86,22.1,20.6,31.0,2.6,0.5,Bore Well,0,0,11,0,0,0.46,None,None,None
2024-11-19,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,6.96,2.14,114.26,507.52,18.7,4.9,136.0,1.0,4.8,Bore Well,0,0,11,1,41,0.95,High,Cholera,Mixed
2023-10-12,"Dibrugarh, Assam",Assam,8.17,3.97,29.33,59.64,19.5,2.7,37.0,3.1,1.9,Hand Pump,0,0,10,0,0,0.32,None,None,None
2023-04-04,"Imphal, Manipur",Manipur,7.51,0.04,5.52,27.2,28.0,4.0,53.0,4.6,1.3,Piped Supply,0,0,4,1,12,0.29,Medium,Diarrhea,Mixed
2024-12-11,"Imphal, Manipur",Manipur,5.5,1.5,12.3,53.58,22.5,11.1,171.0,1.0,18.6,Hand Pump,0,0,12,0,0,0.52,None,None,None
2024-04-10,"Silchar, Assam",Assam,6.81,1.86,20.28,80.67,30.5,4.8,121.0,3.5,5.7,Piped Supply,1,0,4,0,0,0.59,None,None,None
2023-01-02,"Dimapur, Nagaland",Nagaland,7.02,0.27,25.2,55.85,25.4,0.4,24.0,3.4,1.6,Hand Pump,0,0,1,1,12,0.32,Medium,Diarrhea,Mixed
2024-10-02,"Imphal, Manipur",Manipur,6.67,3.24,28.91,80.81,21.2,2.4,203.0,2.4,8.3,Surface Water,0,0,10,0,0,0.44,None,None,None
2024-03-24,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,6.73,10.37,32.06,92.29,30.0,19.6,234.0,4.7,3.3,Bore Well,0,0,3,0,0,0.46,None,None,None
2023-11-15,"Churachandpur, Manipur",Manipur,8.06,7.9,25.44,79.28,18.0,4.7,8.0,2.5,2.7,Hand Pump,0,0,11,0,0,0.32,None,None,None
2023-05-01,"Dimapur, Nagaland",Nagaland,7.44,5.62,50.25,138.52,29.9,7.0,184.0,1.9,6.3,Hand Pump,0,0,5,1,6,0.32,Medium,Typhoid,Mixed
2024-05-09,"Imphal, Manipur",Manipur,8.14,0.42,25.89,115.3,29.0,9.2,12.0,1.8,2.8,River/Stream,0,0,5,0,0,0.47,None,None,None
2024-06-04,"Agartala, Tripura",Tripura,8.65,9.3,30.34,129.97,28.4,85.2,16.0,5.0,4.1,Bore Well,1,1,6,1,54,0.95,High,Typhoid,Elderly
2023-01-03,"Tura, Meghalaya",Meghalaya,8.54,2.87,4.17,12.77,26.0,7.7,48.0,4.4,2.9,River/Stream,0,0,1,0,0,0.57,None,None,None
2023-06-02,"Imphal, Manipur",Manipur,6.31,9.42,168.26,522.44,30.9,73.8,10.0,6.8,0.8,Piped Supply,0,1,6,1,49,0.95,High,Diarrhea,Elderly
2023-07-13,"Agartala, Tripura",Tripura,8.21,4.63,2.01,7.52,27.7,214.9,152.0,3.5,0.5,Hand Pump,1,1,7,1,44,0.95,High,Typhoid,Mixed
2024-01-31,"Dimapur, Nagaland",Nagaland,8.25,3.69,31.08,110.4,25.3,2.0,45.0,1.5,10.6,Surface Water,0,0,1,1,29,0.54,High,Cholera,Elderly
2023-04-13,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,8.18,0.38,10.55,47.68,31.1,2.4,359.0,6.7,0.5,Bore Well,0,0,4,0,0,0.06,None,None,None
2023-05-28,"Lunglei, Mizoram",Mizoram,6.26,5.35,6.38,22.67,28.4,1.5,47.0,4.4,13.0,Surface Water,1,0,5,1,46,0.94,High,Typhoid,Children
2023-12-03,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,7.18,1.72,26.15,112.36,26.2,0.9,20.0,2.8,0.5,River/Stream,0,0,12,1,20,0.47,Medium,Typhoid,Mixed
2024-07-08,"Guwahati, Assam",Assam,7.3,1.28,71.02,195.2,26.2,58.3,32.0,5.9,18.4,Surface Water,0,1,7,0,0,0.84,None,None,None
2023-08-21,"Agartala, Tripura",Tripura,7.91,0.1,163.5,799.56,22.6,96.4,11.0,2.9,5.0,Bore Well,0,1,8,1,44,0.95,High,Diarrhea,Adults
2024-12-11,"Tura, Meghalaya",Meghalaya,7.65,0.49,5.11,14.06,23.8,3.7,172.0,2.1,0.7,Bore Well,0,0,12,1,12,0.26,Medium,Diarrhea,Mixed
2023-05-30,"Shillong, Meghalaya",Meghalaya,7.55,1.86,10.61,41.95,29.5,3.9,56.0,2.1,1.8,River/Stream,0,0,5,1,20,0.47,Medium,Diarrhea,Mixed
2024-09-26,"Dimapur, Nagaland",Nagaland,7.15,1.8,42.41,150.9,20.7,80.1,38.0,2.6,5.5,River/Stream,1,1,9,1,37,0.95,High,Diarrhea,Children
2024-04-21,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,7.14,5.18,9.57,41.43,26.0,7.9,67.0,4.2,19.7,River/Stream,1,0,4,0,0,0.87,None,None,None
2024-08-24,"Tura, Meghalaya",Meghalaya,6.22,5.36,47.29,139.52,21.2,76.6,36.0,2.4,7.6,Hand Pump,0,1,8,1,35,0.92,High,Diarrhea,Mixed
2024-05-09,"Silchar, Assam",Assam,7.22,10.25,10.82,53.57,31.8,5.5,19.0,4.7,6.6,River/Stream,0,0,5,1,34,0.67,High,Typhoid,Children
2024-11-05,"Lunglei, Mizoram",Mizoram,7.0,6.63,1.65,6.94,21.6,8.5,41.0,4.9,13.8,River/Stream,0,0,11,0,0,0.57,None,None,None
2023-02-20,"Tezpur, Arunachal Pradesh",Arunachal Pradesh,5.5,2.04,35.23,105.9,27.6,1.0,127.0,4.1,4.8,Hand Pump,0,0,2,0,0,0.42,None,None,None
2023-08-24,"Kohima, Nagaland",Nagaland,6.87,6.22,31.59,122.04,23.0,72.5,57.0,4.2,0.6,Surface Water,0,1,8,1,40,0.94,High,Typhoid,Adults
2024-10-05,"Silchar, Assam",Assam,8.15,0.77,36.29,102.97,22.8,3.6,150.0,1.7,8.5,Bore Well,0,0,10,0,0,0.26,None,None,None
2024-08-16,"Aizawl, Mizoram",Mizoram,7.78,4.92,9.04,42.71,22.7,127.8,365.0,1.9,3.8,Bore Well,0,1,8,1,60,0.76,High,Diarrhea,Adults
2023-05-16,"Dharmanagar, Tripura",Tripura,6.77,4.04,50.04,142.12,28.4,9.8,91.0,1.6,16.5,Piped Supply,0,0,5,0,0,0.39,None,None,None
2023-06-18,"Tura, Meghalaya",Meghalaya,6.78,0.54,36.49,132.17,25.7,75.9,8.0,3.2,0.5,Hand Pump,0,1,6,1,44,0.82,High,Hepatitis A,Children
2024-04-24,"Silchar, Assam",Assam,6.35,6.69,4.1,9.17,31.1,0.2,29.0,1.9,7.3,Surface Water,0,0,4,0,0,0.54,None,None,None
2024-02-11,"Itanagar, Arunachal Pradesh",Arunachal Pradesh,7.41,5.3,42.24,156.92,29.6,3.6,9.0,1.4,4.7,Piped Supply,1,0,2,1,31,0.59,High,Cholera,Mixed
2024-01-13,"Dimapur, Nagaland",Nagaland,8.3,2.69,24.26,65.79,24.2,2.4,56.0,2.3,0.6,Piped Supply,0,0,1,0,0,0.29,None,None,None
